county_number,county,order_year,order_month,order_amount,order_revenue,number_of_orders
4,appanoose,2017,8,6785.42,89245.13,898
4,appanoose,2017,9,5507.56,81519.67,699
4,appanoose,2017,10,4822.32,65181.72,631
4,appanoose,2017,11,5334.41,76648.56,782
4,appanoose,2017,12,7294.06,113395.5,679
4,appanoose,2018,1,4513.52,62029.13,650
4,appanoose,2018,2,4138.25,54072.01,463
4,appanoose,2018,3,4226.7,61816.15,542
4,appanoose,2018,4,4612.9,65587.43,589
4,appanoose,2018,5,7431.88,109174.36,769
4,appanoose,2018,6,5444.47,73475.03,594
4,appanoose,2018,7,4709.67,63323.36,648
4,appanoose,2018,8,5053.39,69707.22,648
4,appanoose,2018,9,4870.07,70511.97,532
4,appanoose,2018,10,5791.22,86083.45,688
4,appanoose,2018,11,5636.26,87927.8,575
4,appanoose,2018,12,6378.43,92083.36,657
4,appanoose,2019,1,4461.89,59092.96,559
4,appanoose,2019,2,6746.21,102104,524
4,appanoose,2019,3,7060.36,123511.56,561
4,appanoose,2019,4,4571.79,60169.77,606
4,appanoose,2019,5,8412.52,117933.16,980
4,appanoose,2019,6,5887.11,85726.16,679
4,appanoose,2019,7,6466.08,85165.29,694
4,appanoose,2019,8,7315.52,93787.58,781
4,appanoose,2019,9,5848.19,82564.58,571
4,appanoose,2019,10,4891.9,82379.05,516
4,appanoose,2019,11,6245.42,95992.09,742
4,appanoose,2019,12,3905.27,60048.73,378
4,appanoose,2020,5,7865.55,111176.01,940
4,appanoose,2020,6,6261.48,91121.23,719
4,appanoose,2020,7,1225.67,19950.02,148
4,appanoose,2020,11,5344.06,83831.11,547
5,audubon,2012,1,1245.01,13472.98,199
5,audubon,2012,2,1410.5,13594.32,149
5,audubon,2012,3,734.37,8660.21,148
5,audubon,2012,4,1178.8,12610.24,171
5,audubon,2012,5,1974.25,18622.49,190
5,audubon,2012,6,822.61,9878.77,172
5,audubon,2012,7,1068.37,12404.36,164
5,audubon,2012,8,1032.47,12161.29,184
5,audubon,2012,9,1029.12,10296.07,153
5,audubon,2012,10,1478.25,16932.1,176
5,audubon,2012,11,1016.81,12640.58,173
5,audubon,2012,12,2110.63,22303.62,235
5,audubon,2013,1,866.35,10549.9,149
5,audubon,2013,2,1052.81,13030.5,150
5,audubon,2013,3,798.12,9495.73,145
5,audubon,2013,4,1304.38,14850.94,185
5,audubon,2013,5,1515.03,15042.93,158
5,audubon,2013,6,1234.63,13675.76,180
5,audubon,2013,7,1273.49,13986.67,223
5,audubon,2013,8,1146.38,12970.27,209
5,audubon,2013,9,1119.89,12332.64,213
5,audubon,2013,10,1573.63,17145.24,180
5,audubon,2013,11,863.43,10138.47,148
5,audubon,2013,12,1582.39,18804.23,251
5,audubon,2014,1,1018,11627.08,176
5,audubon,2014,2,1349.54,13288.54,147
5,audubon,2014,3,984.94,11786.37,179
5,audubon,2014,4,1066.25,12466.25,158
5,audubon,2014,5,863.25,9468.28,116
5,audubon,2014,6,1866.25,21645.97,274
5,audubon,2014,7,1327.87,14754.84,175
5,audubon,2014,8,1347.25,15103.34,219
5,audubon,2014,9,882.64,10740.49,148
5,audubon,2014,10,1490.51,14869.08,163
5,audubon,2014,11,894.62,10723.78,129
5,audubon,2014,12,1861.05,21639.58,250
5,audubon,2015,1,865.88,11089.17,168
5,audubon,2015,2,1302.93,14201.39,172
5,audubon,2015,3,1129.75,13983.9,192
5,audubon,2015,4,975.42,11757.14,161
5,audubon,2015,5,1120.14,12187.67,136
5,audubon,2015,6,1538.14,18356.84,201
5,audubon,2015,7,1148.13,13014.65,169
5,audubon,2015,8,1358.75,16074.13,183
5,audubon,2015,9,1161.7,12391.84,133
5,audubon,2015,10,828,8769.55,119
5,audubon,2015,11,1681.13,19919.85,250
5,audubon,2015,12,1746.46,22103.1,176
5,audubon,2016,1,866.87,9908.69,124
5,audubon,2016,2,1493,15653.6,165
5,audubon,2016,3,1066.75,11551.28,104
5,audubon,2016,4,896,9542.88,109
5,audubon,2016,5,1509.12,17229.72,195
5,audubon,2016,6,1049.25,11799.83,120
5,audubon,2016,7,707.75,7132.47,85
5,audubon,2016,8,1182,14009.54,175
5,audubon,2016,9,801.7,9190.81,128
5,audubon,2016,10,1361.5,15317.44,164
5,audubon,2016,11,951.55,11500.12,136
5,audubon,2016,12,1506.15,17123.85,165
5,audubon,2017,1,690.5,7692.19,74
5,audubon,2017,2,823.02,8856.36,97
5,audubon,2017,3,708.8,8093.26,130
5,audubon,2017,4,1058.75,11931.3,175
5,audubon,2017,5,1181.1,12701.95,193
5,audubon,2017,6,1096.25,11715.47,163
5,audubon,2017,7,1184.5,12080.13,189
5,audubon,2017,8,1131.4,12037.19,185
5,audubon,2017,9,857,9699.39,142
5,audubon,2017,10,991.65,11135.86,165
5,audubon,2017,11,1066,11800.16,176
5,audubon,2017,12,986.62,11281.96,143
5,audubon,2018,1,1159.75,13119.62,206
5,audubon,2018,2,1428.17,18251.37,221
5,audubon,2018,3,880.25,10342.33,157
5,audubon,2018,4,754.63,7772.11,151
5,audubon,2018,5,1057.1,11984.8,168
5,audubon,2018,6,1213.4,13906.52,173
5,audubon,2018,7,1051.75,11430.69,148
5,audubon,2018,8,1776.9,24901.71,381
5,audubon,2018,9,958,12099.42,162
5,audubon,2018,10,1359.12,18348.92,262
5,audubon,2018,11,1219.97,15411.34,206
5,audubon,2018,12,1802.8,25805.06,433
5,audubon,2019,1,1069.15,12881.76,201
5,audubon,2019,2,1064.11,13809.29,210
5,audubon,2019,3,1199.73,14808.72,213
5,audubon,2019,4,1035.37,12556.08,215
5,audubon,2019,5,1130.25,15255.09,211
5,audubon,2019,6,1558.44,19658.46,268
5,audubon,2019,7,1511.72,18917.41,312
5,audubon,2019,8,1251.87,16210.92,231
5,audubon,2019,9,1196.55,14736.89,210
5,audubon,2019,10,1319.6,16319.85,244
5,audubon,2019,11,1243.37,15758.73,234
5,audubon,2019,12,918.82,11607.64,179
5,audubon,2020,5,1583.64,21284.61,278
5,audubon,2020,6,1731.51,22952.17,334
5,audubon,2020,11,1028.62,14440.62,205
6,benton,2012,1,3474.91,40914.91,567
6,benton,2012,2,4397.67,46233.37,660
6,benton,2012,3,4168.4,50371.1,735
6,benton,2012,4,3822.67,46126.04,613
6,benton,2012,5,6082.34,65777.66,820
6,benton,2012,6,3821.91,45423.36,590
6,benton,2012,7,4417.7,53148.5,678
6,benton,2012,8,4461.53,53051.37,722
6,benton,2012,9,3703.31,43446.55,609
6,benton,2012,10,6915.09,80997.33,699
6,benton,2012,11,4616.82,54194.87,736
6,benton,2012,12,4641.4,60719.93,753
6,benton,2013,1,5432.36,69342.52,814
6,benton,2013,2,3904.27,44941.72,603
6,benton,2013,3,3682.88,45485.89,671
6,benton,2013,4,3751.75,45318.52,627
6,benton,2013,5,5659.62,64102.84,820
6,benton,2013,6,4383.43,51050.62,704
6,benton,2013,7,4342.11,50963.41,732
6,benton,2013,8,4500.51,54890.91,668
6,benton,2013,9,4743.79,57447.37,626
6,benton,2013,10,6522.97,81267.13,792
6,benton,2013,11,3885.79,46626.55,620
6,benton,2013,12,6153.04,76039.91,839
6,benton,2014,1,4125.63,48872.56,618
6,benton,2014,2,4316.42,49941.8,597
6,benton,2014,3,3962.66,47766.7,623
6,benton,2014,4,4466.6,54838.27,712
6,benton,2014,5,4606.48,52234.3,640
6,benton,2014,6,5594.42,65031.98,788
6,benton,2014,7,4812.21,54722.22,658
6,benton,2014,8,4707.06,55761.51,640
6,benton,2014,9,5904.99,68989.26,790
6,benton,2014,10,5601.3,62244.95,682
6,benton,2014,11,4534.33,60576.98,639
6,benton,2014,12,5848.68,77059.39,939
6,benton,2015,1,3505.81,39463.17,551
6,benton,2015,2,4922.53,60707.08,551
6,benton,2015,3,5552.97,85191.41,717
6,benton,2015,4,3822.62,46930.83,564
6,benton,2015,5,5308.71,58869.53,681
6,benton,2015,6,5265.32,63965.46,746
6,benton,2015,7,5123.92,60258.69,666
