Episode Number,Season,Episode,Rating,Code,Number of Episodes,Prop Through Series,Title,main_character_left
24,3,5,7.9,tt0094525,70,0.34285714285714286,Poirot,0
25,3,6,7.8,tt0094525,70,0.35714285714285715,Poirot,0
26,3,7,7.5,tt0094525,70,0.37142857142857144,Poirot,0
28,3,9,7.7,tt0094525,70,0.4,Poirot,0
29,3,10,7.7,tt0094525,70,0.4142857142857143,Poirot,0
30,3,11,7.8,tt0094525,70,0.42857142857142855,Poirot,0
32,4,2,7.9,tt0094525,70,0.45714285714285713,Poirot,0
33,4,3,7.9,tt0094525,70,0.4714285714285714,Poirot,0
34,5,1,7.8,tt0094525,70,0.4857142857142857,Poirot,0
36,5,3,8.0,tt0094525,70,0.5142857142857142,Poirot,0
37,5,4,7.7,tt0094525,70,0.5285714285714286,Poirot,0
38,5,5,7.6,tt0094525,70,0.5428571428571428,Poirot,0
40,5,7,7.8,tt0094525,70,0.5714285714285714,Poirot,0
41,5,8,7.7,tt0094525,70,0.5857142857142857,Poirot,0
42,6,1,8.1,tt0094525,70,0.6,Poirot,0
44,6,3,7.9,tt0094525,70,0.6285714285714286,Poirot,0
45,6,4,8.0,tt0094525,70,0.6428571428571429,Poirot,0
47,7,2,8.0,tt0094525,70,0.6714285714285714,Poirot,0
48,8,1,7.9,tt0094525,70,0.6857142857142857,Poirot,0
49,8,2,7.5,tt0094525,70,0.7,Poirot,0
51,9,2,8.1,tt0094525,70,0.7285714285714285,Poirot,0
52,9,3,7.9,tt0094525,70,0.7428571428571429,Poirot,0
53,9,4,7.7,tt0094525,70,0.7571428571428571,Poirot,0
55,10,2,7.6,tt0094525,70,0.7857142857142857,Poirot,0
56,10,3,8.0,tt0094525,70,0.8,Poirot,0
57,10,4,7.5,tt0094525,70,0.8142857142857143,Poirot,0
59,11,2,8.0,tt0094525,70,0.8428571428571429,Poirot,0
60,11,3,7.9,tt0094525,70,0.8571428571428571,Poirot,0
61,11,4,7.5,tt0094525,70,0.8714285714285714,Poirot,0
63,12,2,7.9,tt0094525,70,0.9,Poirot,0
64,12,3,7.9,tt0094525,70,0.9142857142857143,Poirot,0
65,12,4,8.0,tt0094525,70,0.9285714285714286,Poirot,0
67,13,2,7.3,tt0094525,70,0.9571428571428572,Poirot,0
68,13,3,8.1,tt0094525,70,0.9714285714285714,Poirot,0
13,1,13,7.9,tt0096697,660,0.019696969696969695,The Simpsons,0
26,2,13,8.0,tt0096697,660,0.03939393939393939,The Simpsons,0
39,3,4,8.7,tt0096697,660,0.05909090909090909,The Simpsons,0
52,3,17,8.7,tt0096697,660,0.07878787878787878,The Simpsons,0
65,4,6,8.3,tt0096697,660,0.09848484848484848,The Simpsons,0
78,4,19,8.2,tt0096697,660,0.11818181818181818,The Simpsons,0
91,5,10,8.6,tt0096697,660,0.13787878787878788,The Simpsons,0
104,6,1,8.7,tt0096697,660,0.15757575757575756,The Simpsons,0
117,6,14,8.7,tt0096697,660,0.17727272727272728,The Simpsons,0
130,7,2,8.3,tt0096697,660,0.19696969696969696,The Simpsons,0
143,7,15,7.7,tt0096697,660,0.21666666666666667,The Simpsons,0
156,8,3,8.1,tt0096697,660,0.23636363636363636,The Simpsons,0
168,8,15,8.9,tt0096697,660,0.2545454545454545,The Simpsons,0
181,9,3,8.2,tt0096697,660,0.27424242424242423,The Simpsons,0
194,9,16,7.7,tt0096697,660,0.29393939393939394,The Simpsons,0
207,10,4,8.1,tt0096697,660,0.31363636363636366,The Simpsons,0
220,10,17,7.8,tt0096697,660,0.3333333333333333,The Simpsons,0
233,11,7,7.1,tt0096697,660,0.353030303030303,The Simpsons,0
246,11,20,7.3,tt0096697,660,0.37272727272727274,The Simpsons,0
259,12,11,7.5,tt0096697,660,0.3924242424242424,The Simpsons,0
272,13,3,7.2,tt0096697,660,0.4121212121212121,The Simpsons,0
285,13,16,7.7,tt0096697,660,0.4318181818181818,The Simpsons,0
298,14,7,7.2,tt0096697,660,0.45151515151515154,The Simpsons,0
311,14,20,6.9,tt0096697,660,0.4712121212121212,The Simpsons,0
