Code,Title,Season,Episode,Rating,Episode Number,Number of Episodes,Prop Through Series,main_character_left
tt0042116,The Jack Benny Program,15.0,5.0,8.1,206.0,224,0.9196428571428571,0
tt0042116,The Jack Benny Program,15.0,9.0,7.4,210.0,224,0.9375,0
tt0042116,The Jack Benny Program,15.0,16.0,7.5,215.0,224,0.9598214285714286,0
tt0042116,The Jack Benny Program,15.0,21.0,6.2,219.0,224,0.9776785714285714,0
tt0043175,The Amos 'n Andy Show,1.0,2.0,8.6,2.0,74,0.02702702702702703,0
tt0043175,The Amos 'n Andy Show,1.0,3.0,8.2,3.0,74,0.04054054054054054,0
tt0043175,The Amos 'n Andy Show,1.0,5.0,8.1,5.0,74,0.06756756756756757,0
tt0043175,The Amos 'n Andy Show,1.0,6.0,7.9,6.0,74,0.08108108108108109,0
tt0043175,The Amos 'n Andy Show,1.0,8.0,8.3,8.0,74,0.10810810810810811,0
tt0043175,The Amos 'n Andy Show,1.0,9.0,8.2,9.0,74,0.12162162162162163,0
tt0043175,The Amos 'n Andy Show,1.0,11.0,8.8,11.0,74,0.14864864864864866,0
tt0043175,The Amos 'n Andy Show,1.0,12.0,8.1,12.0,74,0.16216216216216217,0
tt0043175,The Amos 'n Andy Show,1.0,13.0,8.1,13.0,74,0.17567567567567569,0
tt0043175,The Amos 'n Andy Show,1.0,15.0,8.5,15.0,74,0.20270270270270271,0
tt0043175,The Amos 'n Andy Show,1.0,16.0,7.9,16.0,74,0.21621621621621623,0
tt0043175,The Amos 'n Andy Show,1.0,18.0,7.2,18.0,74,0.24324324324324326,0
tt0043175,The Amos 'n Andy Show,1.0,19.0,8.6,19.0,74,0.25675675675675674,0
tt0043175,The Amos 'n Andy Show,1.0,21.0,8.2,21.0,74,0.28378378378378377,0
tt0043175,The Amos 'n Andy Show,1.0,22.0,8.5,22.0,74,0.2972972972972973,0
tt0043175,The Amos 'n Andy Show,1.0,23.0,8.7,23.0,74,0.3108108108108108,0
tt0043175,The Amos 'n Andy Show,1.0,25.0,7.5,25.0,74,0.33783783783783783,0
tt0043175,The Amos 'n Andy Show,1.0,26.0,8.7,26.0,74,0.35135135135135137,0
tt0043175,The Amos 'n Andy Show,2.0,1.0,8.0,28.0,74,0.3783783783783784,0
tt0043175,The Amos 'n Andy Show,2.0,3.0,8.3,29.0,74,0.3918918918918919,0
tt0043175,The Amos 'n Andy Show,2.0,5.0,8.2,31.0,74,0.4189189189189189,0
tt0043175,The Amos 'n Andy Show,2.0,6.0,8.0,32.0,74,0.43243243243243246,0
tt0043175,The Amos 'n Andy Show,2.0,7.0,8.3,33.0,74,0.44594594594594594,0
